custid      orderid     orderdate
----------- ----------- -----------------------
85          10248       2006-07-04 00:00:00.000
79          10249       2006-07-05 00:00:00.000
34          10250       2006-07-08 00:00:00.000
84          10251       2006-07-08 00:00:00.000
76          10252       2006-07-09 00:00:00.000
34          10253       2006-07-10 00:00:00.000
14          10254       2006-07-11 00:00:00.000
68          10255       2006-07-12 00:00:00.000
88          10256       2006-07-15 00:00:00.000
35          10257       2006-07-16 00:00:00.000
20          10258       2006-07-17 00:00:00.000
13          10259       2006-07-18 00:00:00.000
56          10260       2006-07-19 00:00:00.000
61          10261       2006-07-19 00:00:00.000
65          10262       2006-07-22 00:00:00.000
20          10263       2006-07-23 00:00:00.000
24          10264       2006-07-24 00:00:00.000
7           10265       2006-07-25 00:00:00.000
87          10266       2006-07-26 00:00:00.000
25          10267       2006-07-29 00:00:00.000

(20 row(s) affected)

