monthno     val                                     avglast3months                          diffjanuary                             nextval
----------- --------------------------------------- --------------------------------------- --------------------------------------- ---------------------------------------
1           61258.08                                0.000000                                0.00                                    38483.64
2           38483.64                                20419.360000                            -22774.44                               38547.23
3           38547.23                                33247.240000                            -22710.85                               53032.95
4           53032.95                                46096.316666                            -8225.13                                53781.30
5           53781.30                                43354.606666                            -7476.78                                36362.82
6           36362.82                                48453.826666                            -24895.26                               51020.86
7           51020.86                                47725.690000                            -10237.22                               47287.68
8           47287.68                                47054.993333                            -13970.40                               55629.27
9           55629.27                                44890.453333                            -5628.81                                66749.23
10          66749.23                                51312.603333                            5491.15                                 43533.80
11          43533.80                                56555.393333                            -17724.28                               71398.44
12          71398.44                                55304.100000                            10140.36                                NULL

(12 row(s) affected)

