monthno     val                                     avglast3months                          ytdval
----------- --------------------------------------- --------------------------------------- ---------------------------------------
1           61258.08                                61258.080000                            61258.08
2           38483.64                                49870.860000                            99741.72
3           38547.23                                46096.316666                            138288.95
4           53032.95                                47830.475000                            191321.90
5           53781.30                                45961.280000                            245103.20
6           36362.82                                45431.075000                            281466.02
7           51020.86                                48549.482500                            332486.88
8           47287.68                                47113.165000                            379774.56
9           55629.27                                47575.157500                            435403.83
10          66749.23                                55171.760000                            502153.06
11          43533.80                                53299.995000                            545686.86
12          71398.44                                59327.685000                            617085.30

(12 row(s) affected)

