Name                                                                                                                             Owner                                                                                                                            Object_type
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------
CustOrders                                                                                                                       dbo                                                                                                                              view
EmpOrders                                                                                                                        dbo                                                                                                                              view
OrderTotalsByYear                                                                                                                dbo                                                                                                                              view
OrderValues                                                                                                                      dbo                                                                                                                              view
Categories                                                                                                                       dbo                                                                                                                              user table
Customers                                                                                                                        dbo                                                                                                                              user table
Employees                                                                                                                        dbo                                                                                                                              user table
Nums                                                                                                                             dbo                                                                                                                              user table
OrderDetails                                                                                                                     dbo                                                                                                                              user table
Orders                                                                                                                           dbo                                                                                                                              user table
Products                                                                                                                         dbo                                                                                                                              user table
Scores                                                                                                                           dbo                                                                                                                              user table
Shippers                                                                                                                         dbo                                                                                                                              user table
Suppliers                                                                                                                        dbo                                                                                                                              user table
Tests                                                                                                                            dbo                                                                                                                              user table
GetTopCustomers                                                                                                                  dbo                                                                                                                              stored procedure
EventNotificationErrorsQueue                                                                                                     dbo                                                                                                                              queue
QueryNotificationErrorsQueue                                                                                                     dbo                                                                                                                              queue
ServiceBrokerQueue                                                                                                               dbo                                                                                                                              queue
PK_Categories                                                                                                                    dbo                                                                                                                              primary key cns
PK_Customers                                                                                                                     dbo                                                                                                                              primary key cns
PK_Employees                                                                                                                     dbo                                                                                                                              primary key cns
PK_Nums                                                                                                                          dbo                                                                                                                              primary key cns
PK_OrderDetails                                                                                                                  dbo                                                                                                                              primary key cns
PK_Orders                                                                                                                        dbo                                                                                                                              primary key cns
PK_Products                                                                                                                      dbo                                                                                                                              primary key cns
PK_Scores                                                                                                                        dbo                                                                                                                              primary key cns
PK_Shippers                                                                                                                      dbo                                                                                                                              primary key cns
PK_Suppliers                                                                                                                     dbo                                                                                                                              primary key cns
PK_Tests                                                                                                                         dbo                                                                                                                              primary key cns
queue_messages_1977058079                                                                                                        dbo                                                                                                                              internal table
queue_messages_2009058193                                                                                                        dbo                                                                                                                              internal table
queue_messages_2041058307                                                                                                        dbo                                                                                                                              internal table
GetNums                                                                                                                          dbo                                                                                                                              inline function
FK_Employees_Employees                                                                                                           dbo                                                                                                                              foreign key cns
FK_OrderDetails_Orders                                                                                                           dbo                                                                                                                              foreign key cns
FK_OrderDetails_Products                                                                                                         dbo                                                                                                                              foreign key cns
FK_Orders_Customers                                                                                                              dbo                                                                                                                              foreign key cns
FK_Orders_Employees                                                                                                              dbo                                                                                                                              foreign key cns
FK_Orders_Shippers                                                                                                               dbo                                                                                                                              foreign key cns
FK_Products_Categories                                                                                                           dbo                                                                                                                              foreign key cns
FK_Products_Suppliers                                                                                                            dbo                                                                                                                              foreign key cns
FK_Scores_Tests                                                                                                                  dbo                                                                                                                              foreign key cns
DFT_OrderDetails_discount                                                                                                        dbo                                                                                                                              default (maybe cns)
DFT_OrderDetails_qty                                                                                                             dbo                                                                                                                              default (maybe cns)
DFT_OrderDetails_unitprice                                                                                                       dbo                                                                                                                              default (maybe cns)
DFT_Orders_freight                                                                                                               dbo                                                                                                                              default (maybe cns)
DFT_Products_discontinued                                                                                                        dbo                                                                                                                              default (maybe cns)
DFT_Products_unitprice                                                                                                           dbo                                                                                                                              default (maybe cns)
CHK_birthdate                                                                                                                    dbo                                                                                                                              check cns
